,Boris Becker,Stefan Edberg,Jim Courier,Pete Sampras,Andre Agassi,Thomas Muster,Marcelo Rios,Carlos Moya,Yevgeny Kafelnikov,Patrick Rafter,Marat Safin,Gustavo Kuerten,Lleyton Hewitt,Juan Carlos Ferrero,Andy Roddick,Roger Federer,Rafael Nadal,Novak Djokovic,Andy Murray
Boris Becker,-0.2,0.71,0.86,0.37,0.29,0.67,0.6,0.5,0.67,0.67,0,-0.1,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Stefan Edberg,0.29,-0.2,0.4,0.43,0.33,1,1,1,0.33,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Jim Courier,0.14,0.6,-0.2,0.2,0.58,0.58,0,0.67,0.17,0,0.5,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Pete Sampras,0.63,0.57,0.8,-0.2,0.59,0.82,1,0.75,0.85,0.75,0.43,0.67,0.44,-0.1,0.33,0,-0.1,-0.1,-0.1
Andre Agassi,0.71,0.67,0.42,0.41,-0.2,0.56,0.33,0.75,0.67,0.67,0.5,0.64,0.5,0.4,0.83,0.27,0,-0.1,-0.1
Thomas Muster,0.33,0,0.42,0.18,0.44,-0.2,0.75,0.5,0.8,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Marcelo Rios,0.4,0,1,0,0.67,0.25,-0.2,0.71,0.25,0.33,0.25,0.5,0.4,0.25,0,0,-0.1,-0.1,-0.1
Carlos Moya,0.5,0,0.33,0.25,0.25,0.5,0.29,-0.2,0.5,0.75,0.57,0.43,0.42,0.43,0.2,0,0.25,0.5,0
Yevgeny Kafelnikov,0.33,0.67,0.83,0.15,0.33,0.2,0.75,0.5,-0.2,0.6,0.5,0.42,0.13,0.67,-0.1,0.67,-0.1,-0.1,-0.1
Patrick Rafter,0.33,0,1,0.33,0.33,1,0.67,0.25,0.4,-0.2,1,0.5,0.25,0.33,-0.1,1,-0.1,-0.1,-0.1
Marat Safin,1,-0.1,0.5,0.57,0.5,1,0.75,0.43,0.5,0,-0.2,0.43,0.5,0.5,0.75,0.2,-0.1,1,1
Gustavo Kuerten,-0.1,-0.1,-0.1,0.33,0.36,1,0.5,0.57,0.58,0.5,0.57,-0.2,0.25,0.4,0.5,0.67,-0.1,-0.1,-0.1
Lleyton Hewitt,0,-0.1,-0.1,0.56,0.5,-0.1,0.6,0.58,0.88,0.75,0.5,0.75,-0.2,0.6,0.5,0.33,0.36,0.14,0
Juan Carlos Ferrero,-0.1,-0.1,-0.1,-0.1,0.6,-0.1,0.75,0.57,0.33,0.67,0.5,0.6,0.4,-0.2,0,0.23,0.22,0.33,0
Andy Roddick,-0.1,-0.1,-0.1,0.67,0.17,-0.1,1,0.8,-0.1,0,0.57,0.5,0.5,1,-0.2,0.13,0.3,0.56,0.27
Roger Federer,-0.1,-0.1,-0.1,1,0.73,-0.1,1,1,0.33,0,0.83,0.33,0.67,0.77,0.88,-0.2,0.32,0.49,0.56
Rafael Nadal,-0.1,-0.1,-0.1,-0.1,1,-0.1,-0.1,0.75,-0.1,-0.1,1,-0.1,0.64,0.78,0.7,0.68,-0.2,0.47,0.71
Novak Djokovic,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.5,-0.1,-0.1,0,-0.1,0.86,0.67,0.44,0.51,0.53,-0.2,0.69
Andy Murray,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,1,-0.1,-0.1,0,-0.1,1,1,0.73,0.44,0.28,0.31,-0.2
