,Boris Becker,Stefan Edberg,Jim Courier,Pete Sampras,Andre Agassi,Thomas Muster,Marcelo Rios,Carlos Moya,Yevgeny Kafelnikov,Patrick Rafter,Marat Safin,Gustavo Kuerten,Lleyton Hewitt,Juan Carlos Ferrero,Andy Roddick,Roger Federer,Rafael Nadal,Novak Djokovic,Andy Murray
Boris Becker,-0.2,0.67,-0.1,0,0.5,-0.1,0.5,-0.1,0,0.5,-0.1,-0.1,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Stefan Edberg,0.33,-0.2,0,-0.1,-0.1,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Jim Courier,-0.1,1,-0.2,0,-0.1,-0.1,-0.1,1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Pete Sampras,1,-0.1,1,-0.2,1,-0.1,-0.1,-0.1,-0.1,1,-0.1,-0.1,0.33,-0.1,-0.1,0,-0.1,-0.1,-0.1
Andre Agassi,0.5,-0.1,-0.1,0,-0.2,-0.1,-0.1,-0.1,-0.1,0.5,-0.1,1,-0.1,-0.1,0,-0.1,0,-0.1,-0.1
Thomas Muster,-0.1,0,-0.1,-0.1,-0.1,-0.2,1,-0.1,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Marcelo Rios,0.5,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Carlos Moya,-0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Yevgeny Kafelnikov,1,-0.1,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,1,-0.1,-0.1,-0.1
Patrick Rafter,0.5,-0.1,1,0,0.5,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,1,-0.1,-0.1,-0.1
Marat Safin,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,0,-0.1,1,-0.1
Gustavo Kuerten,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.1,0,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Lleyton Hewitt,0,-0.1,-0.1,0.67,-0.1,-0.1,-0.1,1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,0,0.4,1,0,-0.1
Juan Carlos Ferrero,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,0,-0.1,0,0
Andy Roddick,-0.1,-0.1,-0.1,-0.1,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,1,-0.1,-0.2,0,0,0,0.33
Roger Federer,-0.1,-0.1,-0.1,1,-0.1,-0.1,-0.1,-0.1,0,0,1,-0.1,0.6,1,1,-0.2,0.67,0.33,0.67
Rafael Nadal,-0.1,-0.1,-0.1,-0.1,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.1,1,0.33,-0.2,0.67,1
Novak Djokovic,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.1,1,1,1,0.67,0.33,-0.2,0
Andy Murray,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,1,0.67,0.33,0,1,-0.2
