,Boris Becker,Stefan Edberg,Jim Courier,Pete Sampras,Andre Agassi,Thomas Muster,Marcelo Rios,Carlos Moya,Yevgeny Kafelnikov,Patrick Rafter,Marat Safin,Gustavo Kuerten,Lleyton Hewitt,Juan Carlos Ferrero,Andy Roddick,Roger Federer,Rafael Nadal,Novak Djokovic,Andy Murray
Boris Becker,-0.2,0.7,0.83,0.47,0.2,1,1,0.5,1,1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Stefan Edberg,0.3,-0.2,0.5,0.5,0.38,1,-0.1,-0.1,0.5,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Jim Courier,0.17,0.5,-0.2,0.13,0.71,0.57,0,0.5,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Pete Sampras,0.53,0.5,0.88,-0.2,0.59,0.82,1,0.75,1,0.77,0.5,0.67,0.5,-0.1,0.5,-0.1,-0.1,-0.1,-0.1
Andre Agassi,0.8,0.63,0.29,0.41,-0.2,0.8,0.33,0.67,0.89,0.8,0.67,0.6,0.5,0.33,1,0.27,-0.1,-0.1,-0.1
Thomas Muster,-0.1,-0.1,0.43,0.18,0.2,-0.2,-0.1,0.33,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Marcelo Rios,-0.1,-0.1,1,-0.1,0.67,-0.1,-0.2,0.5,0.33,0.67,0.5,-0.1,0.5,1,-0.1,-0.1,-0.1,-0.1,-0.1
Carlos Moya,0.5,-0.1,0.5,0.33,0.33,0.67,0.5,-0.2,0.5,0.67,0.33,1,0.38,0.5,-0.1,-0.1,0.33,0.5,-0.1
Yevgeny Kafelnikov,-0.1,0.5,1,-0.1,0.11,-0.1,0.67,0.5,-0.2,0.5,0.33,0.6,-0.1,1,-0.1,1,-0.1,-0.1,-0.1
Patrick Rafter,-0.1,-0.1,-0.1,0.23,0.2,1,0.33,0.33,0.5,-0.2,1,0.6,0.25,0.5,-0.1,1,-0.1,-0.1,-0.1
Marat Safin,1,-0.1,1,0.5,0.33,1,0.5,0.67,0.67,-0.1,-0.2,0.4,0.5,0.75,0.33,0.33,-0.1,1,1
Gustavo Kuerten,-0.1,-0.1,-0.1,0.33,0.4,1,1,-0.1,0.4,0.4,0.6,-0.2,0.33,-0.1,0.5,1,-0.1,-0.1,-0.1
Lleyton Hewitt,-0.1,-0.1,-0.1,0.5,0.5,-0.1,0.5,0.63,1,0.4,0.5,0.67,-0.2,0.67,0.63,0.28,0.6,0.25,1
Juan Carlos Ferrero,-0.1,-0.1,-0.1,-0.1,0.67,-0.1,-0.1,0.5,-0.1,0.5,0.25,1,0.33,-0.2,-0.1,0.33,0.25,-0.1,-0.1
Andy Roddick,-0.1,-0.1,-0.1,0.5,-0.1,-0.1,1,1,-0.1,-0.1,0.67,0.5,0.38,1,-0.2,0.16,0.43,0.63,0.25
Roger Federer,-0.1,-0.1,-0.1,-0.1,0.73,-0.1,1,1,0,0,0.67,0,0.72,0.67,0.84,-0.2,0.44,0.48,0.55
Rafael Nadal,-0.1,-0.1,-0.1,-0.1,1,-0.1,-0.1,0.67,-0.1,-0.1,1,-0.1,0.4,0.75,0.57,0.56,-0.2,0.28,0.55
Novak Djokovic,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.5,-0.1,-0.1,0,-0.1,0.75,-0.1,0.38,0.52,0.72,-0.2,0.72
Andy Murray,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,1,-0.1,-0.1,1,-0.1,0,1,0.75,0,0.45,0.28,-0.2
