,% 1st serve return points won,% of 2nd serve return points won,% return games won,% break points converted
Boris Becker,0.29,0.51,0.24,0.40
Stefan Edberg,0.33,0.53,0.30,0.43
Jim Courier,0.30,0.53,0.26,0.42
Pete Sampras,0.29,0.51,0.24,0.41
Andre Agassi,0.32,0.56,0.32,0.43
Thomas Muster,0.32,0.55,0.32,0.45
Marcelo Rios,0.31,0.53,0.29,0.42
Carlos Moya,0.32,0.51,0.25,0.41
Yevgeny Kafelnikov,0.30,0.53,0.28,0.43
Patrick Rafter,0.29,0.50,0.23,0.40
Marat Safin,0.29,0.50,0.22,0.39
Gustavo Kuerten,0.29,0.51,0.24,0.41
Lleyton Hewitt,0.32,0.54,0.30,0.43
Juan Carlos Ferrero,0.31,0.53,0.27,0.40
Andy Roddick,0.27,0.49,0.20,0.39
Roger Federer,0.33,0.51,0.27,0.41
Rafael Nadal,0.34,0.55,0.33,0.45
Novak Djokovic,0.34,0.55,0.32,0.44
Andy Murray,0.34,0.55,0.32,0.44
