,% 1st serve return points won,% of 2nd serve return points won,% return games won,% break points converted
Boris Becker,0.27,0.54,0.22,0.4
Stefan Edberg,0.3,0.56,0.28,0.39
Jim Courier,0.25,0.53,0.21,0.43
Pete Sampras,0.26,0.54,0.22,0.41
Andre Agassi,0.28,0.56,0.26,0.4
Thomas Muster,0,0,0,0
Marcelo Rios,0,0,0,0
Carlos Moya,0.24,0.53,0.17,0.37
Yevgeny Kafelnikov,0.27,0.53,0.24,0.4
Patrick Rafter,0.27,0.53,0.22,0.41
Marat Safin,0.25,0.5,0.18,0.37
Gustavo Kuerten,0,0,0,0
Lleyton Hewitt,0.31,0.54,0.27,0.41
Juan Carlos Ferrero,0.25,0.52,0.2,0.38
Andy Roddick,0.26,0.48,0.17,0.37
Roger Federer,0.31,0.51,0.24,0.41
Rafael Nadal,0.27,0.53,0.22,0.41
Novak Djokovic,0.3,0.53,0.25,0.4
Andy Murray,0.31,0.55,0.27,0.42
