,% 1st serve return points won,% of 2nd serve return points won,% return games won,% break points converted
Boris Becker,0.29,0.51,0.24,0.41
Stefan Edberg,0.33,0.54,0.31,0.44
Jim Courier,0.30,0.53,0.27,0.42
Pete Sampras,0.30,0.51,0.25,0.42
Andre Agassi,0.31,0.56,0.32,0.44
Thomas Muster,0.28,0.54,0.26,0.42
Marcelo Rios,0.28,0.53,0.26,0.43
Carlos Moya,0.28,0.50,0.21,0.38
Yevgeny Kafelnikov,0.29,0.53,0.27,0.42
Patrick Rafter,0.30,0.50,0.23,0.41
Marat Safin,0.27,0.50,0.22,0.39
Gustavo Kuerten,0.26,0.50,0.20,0.39
Lleyton Hewitt,0.32,0.54,0.30,0.43
Juan Carlos Ferrero,0.27,0.51,0.22,0.38
Andy Roddick,0.27,0.49,0.21,0.40
Roger Federer,0.32,0.51,0.27,0.42
Rafael Nadal,0.32,0.54,0.29,0.43
Novak Djokovic,0.33,0.56,0.33,0.45
Andy Murray,0.34,0.56,0.33,0.44
