,% 1st serve,% 1st serve points won,% 2nd serve points won,% service games won,Avg. aces/match,Avg. double faults/match
Boris Becker,0.57,0.79,0.50,0.86,10,4.6
Stefan Edberg,0.62,0.73,0.52,0.82,3.1,3.6
Jim Courier,0.62,0.74,0.53,0.84,5.1,2.6
Pete Sampras,0.59,0.81,0.53,0.89,10.6,3.6
Andre Agassi,0.63,0.73,0.54,0.84,4.7,2.4
Thomas Muster,0.62,0.69,0.54,0.80,3,2.3
Marcelo Rios,0.58,0.71,0.53,0.80,4.6,2.8
Carlos Moya,0.59,0.72,0.52,0.80,5.1,2.5
Yevgeny Kafelnikov,0.56,0.73,0.51,0.79,5.5,4
Patrick Rafter,0.62,0.76,0.52,0.85,7,3.6
Marat Safin,0.55,0.75,0.52,0.82,8.8,2.4
Gustavo Kuerten,0.55,0.76,0.52,0.83,8.3,2.4
Lleyton Hewitt,0.54,0.74,0.53,0.80,6.2,3.6
Juan Carlos Ferrero,0.64,0.69,0.54,0.80,4,2.2
Andy Roddick,0.65,0.79,0.56,0.90,11.6,2
Roger Federer,0.62,0.77,0.57,0.89,7.6,1.9
Rafael Nadal,0.69,0.72,0.57,0.85,2.9,1.5
Novak Djokovic,0.65,0.73,0.56,0.86,5.4,2.2
Andy Murray,0.58,0.75,0.52,0.82,6.8,2.5
