,% 1st serve,% 1st serve points won,% 2nd serve points won,% service games won,Avg. aces/match,Avg. double faults/match
Boris Becker,0.58,0.73,0.48,0.77,5.3,3
Stefan Edberg,0.62,0.70,0.49,0.79,2.2,3.1
Jim Courier,0.62,0.73,0.52,0.83,4.2,2.6
Pete Sampras,0.59,0.75,0.49,0.81,7.4,3.3
Andre Agassi,0.64,0.69,0.51,0.78,3.1,2.3
Thomas Muster,0.64,0.68,0.54,0.79,2.3,2.1
Marcelo Rios,0.57,0.69,0.52,0.76,3.7,2.8
Carlos Moya,0.60,0.70,0.51,0.79,3.9,2.1
Yevgeny Kafelnikov,0.57,0.69,0.48,0.73,3.9,3.7
Patrick Rafter,0.60,0.73,0.49,0.80,6.7,4.4
Marat Safin,0.55,0.72,0.50,0.78,6.9,2.4
Gustavo Kuerten,0.55,0.74,0.51,0.80,6.8,2.2
Lleyton Hewitt,0.55,0.69,0.49,0.73,4.4,4
Juan Carlos Ferrero,0.67,0.67,0.54,0.78,2.4,1.9
Andy Roddick,0.61,0.75,0.55,0.84,7.2,2.1
Roger Federer,0.61,0.75,0.55,0.85,5.9,1.7
Rafael Nadal,0.71,0.70,0.56,0.84,1.9,1.2
Novak Djokovic,0.66,0.71,0.54,0.82,3.7,1.9
Andy Murray,0.59,0.71,0.50,0.77,5.3,2.1
