,% 1st serve,% 1st serve points won,% 2nd serve points won,% service games won,Avg. aces/match,Avg. double faults/match
Boris Becker,0.58,0.82,0.48,0.89,11.9,7
Stefan Edberg,0.61,0.75,0.52,0.85,4.4,4.4
Jim Courier,0.62,0.76,0.5,0.84,7.1,4.7
Pete Sampras,0.63,0.85,0.53,0.93,13.6,4.5
Andre Agassi,0.61,0.75,0.54,0.87,6.6,3.7
Thomas Muster,0,0,0,0,0,0
Marcelo Rios,0,0,0,0,0,0
Carlos Moya,0.58,0.77,0.5,0.84,9.7,5
Yevgeny Kafelnikov,0.57,0.77,0.49,0.83,8.7,7.2
Patrick Rafter,0.63,0.78,0.53,0.88,8.1,3.9
Marat Safin,0.61,0.76,0.53,0.86,10.8,2.9
Gustavo Kuerten,0,0,0,0,0,0
Lleyton Hewitt,0.56,0.76,0.56,0.85,7.4,3.3
Juan Carlos Ferrero,0.65,0.71,0.55,0.84,7.1,2.7
Andy Roddick,0.68,0.81,0.56,0.93,14.1,2.2
Roger Federer,0.66,0.79,0.59,0.92,10.6,1.8
Rafael Nadal,0.69,0.75,0.59,0.89,6.2,1.9
Novak Djokovic,0.67,0.76,0.56,0.88,9.4,2.8
Andy Murray,0.61,0.78,0.55,0.89,9.6,2
