,% 1st serve,% 1st serve points won,% 2nd serve points won,% service games won,Avg. aces/match,Avg. double faults/match
Boris Becker,0.58,0.79,0.50,0.86,10.50,4.80
Stefan Edberg,0.62,0.73,0.53,0.83,3.00,3.70
Jim Courier,0.62,0.75,0.54,0.85,5.30,2.50
Pete Sampras,0.59,0.82,0.54,0.90,11.10,3.80
Andre Agassi,0.63,0.74,0.55,0.85,4.90,2.30
Thomas Muster,0.60,0.71,0.52,0.80,3.90,2.80
Marcelo Rios,0.58,0.73,0.54,0.82,5.30,2.70
Carlos Moya,0.57,0.73,0.52,0.81,6.30,3.00
Yevgeny Kafelnikov,0.55,0.74,0.51,0.80,5.70,3.90
Patrick Rafter,0.62,0.76,0.52,0.85,6.80,3.40
Marat Safin,0.55,0.77,0.53,0.83,9.40,2.40
Gustavo Kuerten,0.54,0.78,0.53,0.84,9.70,2.50
Lleyton Hewitt,0.53,0.74,0.53,0.81,6.40,3.70
Juan Carlos Ferrero,0.61,0.71,0.54,0.80,5.10,2.60
Andy Roddick,0.65,0.80,0.56,0.91,11.90,2.00
Roger Federer,0.62,0.78,0.57,0.89,7.60,2.00
Rafael Nadal,0.67,0.72,0.57,0.85,3.20,1.70
Novak Djokovic,0.64,0.74,0.56,0.86,5.40,2.30
Andy Murray,0.57,0.75,0.52,0.82,6.60,2.70
