,% of break points converted,% break points saved,% tie breaks won,% deciding sets won
Boris Becker,0.40,0.66,0.58,0.65
Stefan Edberg,0.43,0.64,0.60,0.60
Jim Courier,0.42,0.64,0.58,0.58
Pete Sampras,0.41,0.68,0.64,0.69
Andre Agassi,0.43,0.65,0.58,0.62
Thomas Muster,0.45,0.63,0.58,0.66
Marcelo Rios,0.42,0.61,0.61,0.60
Carlos Moya,0.41,0.63,0.57,0.61
Yevgeny Kafelnikov,0.43,0.61,0.56,0.65
Patrick Rafter,0.40,0.64,0.54,0.63
Marat Safin,0.39,0.63,0.53,0.57
Gustavo Kuerten,0.41,0.63,0.51,0.60
Lleyton Hewitt,0.43,0.62,0.51,0.65
Juan Carlos Ferrero,0.40,0.63,0.56,0.62
Andy Roddick,0.39,0.68,0.62,0.66
Roger Federer,0.41,0.67,0.65,0.64
Rafael Nadal,0.45,0.66,0.61,0.68
Novak Djokovic,0.44,0.66,0.63,0.76
Andy Murray,0.44,0.63,0.62,0.71
