,% of break points converted,% break points saved,% tie breaks won,% deciding sets won
Boris Becker,0.4,0.7,0.56,0.67
Stefan Edberg,0.39,0.66,0.57,0.58
Jim Courier,0.43,0.63,0.6,0.46
Pete Sampras,0.41,0.74,0.64,0.76
Andre Agassi,0.4,0.68,0.54,0.4
Thomas Muster,0,0,0,0
Marcelo Rios,0,0,0,0
Carlos Moya,0.37,0.68,0.31,0.38
Yevgeny Kafelnikov,0.4,0.66,0.55,0.71
Patrick Rafter,0.41,0.65,0.66,0.63
Marat Safin,0.37,0.66,0.57,0.62
Gustavo Kuerten,0,0,0,0
Lleyton Hewitt,0.41,0.64,0.53,0.74
Juan Carlos Ferrero,0.38,0.66,0.5,0.71
Andy Roddick,0.37,0.71,0.68,0.75
Roger Federer,0.41,0.71,0.67,0.7
Rafael Nadal,0.41,0.68,0.64,0.72
Novak Djokovic,0.4,0.68,0.64,0.77
Andy Murray,0.42,0.69,0.62,0.71
