,% of break points converted,% break points saved,% tie breaks won,% deciding sets won
Boris Becker,0.41,0.67,0.55,0.59
Stefan Edberg,0.44,0.64,0.64,0.64
Jim Courier,0.42,0.63,0.60,0.64
Pete Sampras,0.42,0.68,0.66,0.69
Andre Agassi,0.44,0.66,0.60,0.68
Thomas Muster,0.42,0.63,0.59,0.59
Marcelo Rios,0.43,0.62,0.64,0.56
Carlos Moya,0.38,0.64,0.59,0.59
Yevgeny Kafelnikov,0.42,0.62,0.56,0.69
Patrick Rafter,0.41,0.64,0.49,0.64
Marat Safin,0.39,0.63,0.55,0.60
Gustavo Kuerten,0.39,0.62,0.55,0.55
Lleyton Hewitt,0.43,0.62,0.49,0.66
Juan Carlos Ferrero,0.38,0.63,0.59,0.56
Andy Roddick,0.40,0.68,0.59,0.68
Roger Federer,0.42,0.68,0.65,0.63
Rafael Nadal,0.43,0.66,0.59,0.63
Novak Djokovic,0.45,0.67,0.63,0.76
Andy Murray,0.44,0.62,0.59,0.74
